..
Name                                                                                                                              OS       Location                                                                                                                                      
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.1.0-20150810-SE-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.1.0-SE-WebLogic-12.1.2.0-SE-JDK-1.7.0_85-20150810-Win-GA                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.2.0-20150810-EE-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.2.0-20151018-EE-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.2.0-20151018-SE-Win-GA                                                   Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.2.0-EE-WebLogic-12.1.2.0-EE-JDK-1.7.0_85-20150810-Win-GA                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.2.0-EE-WebLogic-12.1.3.0-EE-JDK-1.7.0_85-20151018-Win-GA                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Oracle-Database-12.1.0.2.0-SE-WebLogic-12.1.3.0-SE-JDK-1.7.0_85-20151018-Win-GA                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__WebLogic-12.1.2.0-EE-JDK-1.7.0_85-20150810-Win-GA                                               Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__WebLogic-12.1.2.0-SE-JDK-1.7.0_85-20150810-Win-GA                                               Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__WebLogic-12.1.3.0-EE-JDK-1.7.0_85-20151018-Win-GA                                               Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__WebLogic-12.1.3.0-SE-JDK-1.7.0_85-20151018-Win-GA                                               Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Weblogic-10.3.6-EE-JDK-1.7.0_85-20150810-Win-GA                                                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Weblogic-10.3.6-EE-JDK-1.7.0_85-20151018-Win-GA                                                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Weblogic-10.3.6-SE-JDK-1.7.0_85-20150810-Win-GA                                                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
0c0083a6d9a24f2d91800e52cad83950__Weblogic-10.3.6-SE-JDK-1.7.0_85-20151018-Win-GA                                                 Windows  Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.10                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.7                                                                         Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.1                                                                         Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.3.4                                                                         Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.4.0                                                                         Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-475.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-490.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-509.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-522.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-522.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-522.2.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-547.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-554.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-557.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-561.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-575.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-584.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-591.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-592.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-593.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-598.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-604.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-607.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-612.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-612.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-618.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
